PZ,94-118-2937,Matthus,Shambrooke,Jumeau,8,APPROVED,13,50
LIMON,91-345-9131,Leona,Loeber,Fealey,9,APPROVED,37,50
COTO,91-345-9131,Leona,Loeber,Portress,8,APPROVED,23,50
PZ,91-345-9131,Leona,Loeber,Fairpool,8,APPROVED,2,50
HEREDIA,91-345-9131,Leona,Loeber,Llorente,9,APPROVED,41,50
COTO,18-280-8542,Aurelia,Braune,Kleis,9,APPROVED,32,50
PZ,18-280-8542,Aurelia,Braune,Clemmensen,9,APPROVED,44,50
LIMON,18-280-8542,Aurelia,Braune,Dabbes,8,APPROVED,6,50
PZ,04-390-1882,Greg,Tumbelty,Hacaud,8,APPROVED,33,50
COTO,04-390-1882,Greg,Tumbelty,Dingley,8,APPROVED,8,50
PZ,04-390-1882,Greg,Tumbelty,Kleis,8,APPROVED,21,50
COTO,40-351-5836,Rubi,Shoemark,Bernardelli,9,APPROVED,17,50
LIMON,40-351-5836,Rubi,Shoemark,Llorente,9,APPROVED,0,50
COTO,40-351-5836,Rubi,Shoemark,Dabbes,10,APPROVED,37,50
PZ,70-280-1415,Corbett,Capp,Bernardelli,8,APPROVED,44,50
COTO,70-280-1415,Corbett,Capp,Arington,8,APPROVED,14,50
PZ,70-280-1415,Corbett,Capp,Fealey,10,APPROVED,48,50
COTO,70-280-1415,Corbett,Capp,Seadon,9,APPROVED,31,50
PZ,70-280-1415,Corbett,Capp,Dingley,8,APPROVED,15,50
LIMON,70-280-1415,Corbett,Capp,Clemmensen,8,APPROVED,36,50
HEREDIA,45-941-7225,Danielle,Dykins,Hacaud,8,APPROVED,7,50
COTO,45-941-7225,Danielle,Dykins,Arington,9,APPROVED,21,50
LIMON,45-941-7225,Danielle,Dykins,Fairpool,8,APPROVED,40,50
LIMON,45-941-7225,Danielle,Dykins,Blaxley,9,APPROVED,13,50
PZ,45-941-7225,Danielle,Dykins,Trevance,8,APPROVED,42,50
HEREDIA,31-609-0795,Kerianne,Lidden,Bernardelli,9,APPROVED,34,50
LIMON,31-609-0795,Kerianne,Lidden,Hacaud,9,APPROVED,29,50
PZ,31-609-0795,Kerianne,Lidden,Arington,8,APPROVED,12,50
LIMON,31-609-0795,Kerianne,Lidden,Portress,9,APPROVED,15,50
PZ,31-609-0795,Kerianne,Lidden,Seadon,9,APPROVED,45,50
